date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:19	1233/1233	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/robots.txt		(from )
23:18:20	21667/21667	---M-Z	200	added ('OK')	text/html	etag:W/%22dc9946fb9549dcded890af6ee0de8c7a%22	https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/indexee0b.html	(from )
23:18:24	1386151/1386151	---MCZ	200	added ('OK')	text/css	etag:W/%223ce56c129992906e751a2313d0cbb45b%22	http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.css	C:/Users/jorda/OneDrive/Escritorio/nachita4/capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.css	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:24	11733/11733	---M-Z	200	added ('OK')	text/css	etag:W/%2286089bd64e44cdfb0cfece6d3f75fcf6%22	https://website4023744.nicepage.io/TEAMO.css	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/TEAMO.css	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:29	281437/281437	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2270e47f1a4679866cda6c5511151c6875%22	http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js	C:/Users/jorda/OneDrive/Escritorio/nachita4/capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:29	884/884	---MC-	200	added ('OK')	text/javascript	date:Thu,%2009%20Feb%202023%2002:18:27%20GMT	https://www.google.com/recaptcha/api.js?render=6Lc2HDEiAAAAALpe1yqNarK-BmlyYl_MNPZx7_AB	C:/Users/jorda/OneDrive/Escritorio/nachita4/www.google.com/recaptcha/api2fdf.js	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:29	743474/743474	---M-Z	200	added ('OK')	text/css	etag:W/%227232e954907abafd4aa1075a4f899302%22	https://website4023744.nicepage.io/nicepage-site.css	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/nicepage-site.css	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:29	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/jorda/OneDrive/Escritorio/nachita4/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:30	21667/21667	---M-Z	200	added ('OK')	text/html	etag:W/%22dc9946fb9549dcded890af6ee0de8c7a%22	https://website4023744.nicepage.io/	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/index.html	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:30	98168/98168	---M--	200	added ('OK')	image/jpeg	etag:%22c35b3ef8cd3c98882c89bb1e7790ee18%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-141.jpg	C:/Users/jorda/OneDrive/Escritorio/nachita4/assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-141.jpg	(from https://website4023744.nicepage.io/?version=6080dfc3-a96e-436c-b4c8-e5eafc0d9c8c)
23:18:31	380583/380583	---M--	200	added ('OK')	image/png	etag:%225dcd04809fe437956cb93dc2cfe85ea6%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/Captura.PNG	C:/Users/jorda/OneDrive/Escritorio/nachita4/assets.nicepagecdn.com/d55a4beb/4023744/images/Captura.png	(from https://website4023744.nicepage.io/TEAMO.css)
23:18:32	110931/110931	---M--	200	added ('OK')	image/jpeg	etag:%22cb35ca8b81dcae20000bfd28f83be610%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-11.jpg	C:/Users/jorda/OneDrive/Escritorio/nachita4/assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-11.jpg	(from https://website4023744.nicepage.io/TEAMO.css)
23:18:33	3194/3194	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/Content/BundledScripts/	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js)
23:18:33	3194/3194	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/jorda/OneDrive/Escritorio/nachita4/website4023744.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js)
23:18:34	1578889/1578889	---M--	200	added ('OK')	image/png	etag:%22dec24a5bbabc4e11d212f109b8d34e02%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/leonardo-gil-colo-colo_2.png_1355442878.png	C:/Users/jorda/OneDrive/Escritorio/nachita4/assets.nicepagecdn.com/d55a4beb/4023744/images/leonardo-gil-colo-colo_2.png_1355442878.png	(from https://website4023744.nicepage.io/TEAMO.css)
