date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:12	6357/6357	---M-Z	200	added ('OK')	text/html	etag:W/%2214ec234c0ddb488ee297f43983ab4dfb%22	https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/indexf367.html	(from )
21:58:12	1233/1233	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/robots.txt		(from )
21:58:17	1386151/1386151	---MCZ	200	added ('OK')	text/css	etag:W/%223ce56c129992906e751a2313d0cbb45b%22	http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.css	C:/Users/jorda/OneDrive/Escritorio/Nachita2/capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.css	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:17	7851/7851	---M-Z	200	added ('OK')	text/css	etag:W/%22fc5f279b93b8af4c8cb2ec3d6b53e4ea%22	https://website4023744.nicepage.io/TEAMO.css	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/TEAMO.css	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:22	281437/281437	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2270e47f1a4679866cda6c5511151c6875%22	http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js	C:/Users/jorda/OneDrive/Escritorio/Nachita2/capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:23	743474/743474	---M-Z	200	added ('OK')	text/css	etag:W/%22be4911c23903f5aa3cbeee859babee05%22	https://website4023744.nicepage.io/nicepage-site.css	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/nicepage-site.css	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:24	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/jorda/OneDrive/Escritorio/Nachita2/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:24	6357/6357	---M-Z	200	added ('OK')	text/html	etag:W/%2214ec234c0ddb488ee297f43983ab4dfb%22	https://website4023744.nicepage.io/	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/index.html	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:24	98168/98168	---M--	200	added ('OK')	image/jpeg	etag:%22c35b3ef8cd3c98882c89bb1e7790ee18%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-141.jpg	C:/Users/jorda/OneDrive/Escritorio/Nachita2/assets.nicepagecdn.com/d55a4beb/4023744/images/PHOTO-2023-02-07-21-35-141.jpg	(from https://website4023744.nicepage.io/?version=31c409d3-f56e-4135-b485-44769bb36ada&uid=1fa16faf-4611-4714-91b2-528f42c38072)
21:58:25	3194/3194	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/Content/BundledScripts/	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js)
21:58:25	3194/3194	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22197d3d8cb2ae9b8bf598516361eb19d0%22	https://website4023744.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/jorda/OneDrive/Escritorio/Nachita2/website4023744.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/2da30e5c652d509759c36b737b78368cdaee2bb8/nicepage.js)
21:58:25	380583/380583	---M--	200	added ('OK')	image/png	etag:%225dcd04809fe437956cb93dc2cfe85ea6%22	https://assets.nicepagecdn.com/d55a4beb/4023744/images/Captura.PNG	C:/Users/jorda/OneDrive/Escritorio/Nachita2/assets.nicepagecdn.com/d55a4beb/4023744/images/Captura.png	(from https://website4023744.nicepage.io/TEAMO.css)
